demography_model 	sample_size_per_pop 	msprime_seed 	poolseq_depth 	poolseq_seed 	ploidy 	max_log_likelihoodtheta 	n_1_est 	n_2_est 	t_split_est 	mig_rate_est 	
two_pop_split	50	2	40	3	2	-8672.203947749418	2002.8146362883697	51058.83148409097	24972.785403445643	2411.3739194086165	2.8861626303948073e-06	
two_pop_split	50	3	10	3	2	-14957.578097373535	1668.998519944606	43418.649365028614	41817.30413421314	22279.31406322076	9.7862306451578e-07	
two_pop_split	50	2	70	2	2	-6285.537600931101	1907.1705740187247	115590.07464590539	105303.97801566996	3088.4226117202466	2.259932222830107e-06	
two_pop_split	50	2	100	2	2	-5500.394050082752	2125.9243419355007	57354.56868069562	36716.13313014816	807.3222050723433	1.599740087519213e-06	
two_pop_split	50	1	40	1	2	-8745.666083420629	2104.241937844912	28962.016687997388	18361.064877879297	1383.0074058065604	1.6887895884842752e-06	
two_pop_split	100	1	10	1	2	-21820.890110325454	2239.9663746032	4282.5917075459165	9579.30485699698	3354.131780186749	1.7315917279439551e-06	
two_pop_split	100	1	70	2	2	-26888.00086151123	1190.4310023520438	98954.31443895311	83349.6905133698	172606.249507955	4.714368773416112e-06	
two_pop_split	100	1	100	3	2	-14751.303372495277	1950.0036101717812	140133.17837443645	60020.076890725206	1875.4249588083364	6.482746225042713e-08	
two_pop_split	50	1	100	3	2	-5844.956195871296	2098.268887770172	110981.05137079123	109261.02226702301	2021.1124338414486	2.583969725816191e-06	
two_pop_split	100	1	100	2	2	-14432.535745211888	2007.1047943311257	76574.9533966521	71730.10036629465	2020.122125765117	4.2090635902748125e-07	
two_pop_split	100	1	10	3	2	-24489.364810938572	1211.0049044336597	46506.56674793804	60024.537557492484	16138.197378327804	4.763725382783878e-06	
two_pop_split	100	1	70	3	2	-29391.291738241747	1299.8331955200902	68243.65611875527	110164.34270435762	168208.33491219915	3.7198255511581597e-06	
two_pop_split	100	1	40	1	2	-16623.729966894833	1816.5172838384156	41486.11711582274	73933.29614520015	3998.246381180034	2.259395754666486e-06	
two_pop_split	100	3	100	1	2	-14938.855094285951	1820.9314501888496	146194.32592452207	124351.20890668822	2844.5446493528516	1.6757389246017469e-06	
two_pop_split	100	1	10	2	2	-21915.668454169303	1763.906865352425	19079.80712146017	30132.776164432657	9173.723588288067	1.0713784840159004e-06	
two_pop_split	100	1	100	1	2	-30599.42116227158	1718.1112189878172	90856.69494139776	88998.27671394733	100702.61319217544	3.367539537382539e-06	
two_pop_split	100	3	100	3	2	-14219.53925929196	2046.358882076989	75066.5524656399	37703.82555041644	1176.5104209854487	1.4378833122298575e-06	
two_pop_split	100	2	10	2	2	-24480.481509199468	1186.3194694866722	54038.189458861285	53709.21058365683	17102.92619859315	3.3466172700032963e-06	
two_pop_split	100	3	40	1	2	-16284.4929253071	1958.584498912085	41162.05746561919	38696.46392707171	3607.470550917983	1.253144185379905e-06	
two_pop_split	100	1	70	1	2	-15465.082275478844	1812.2047945329964	97092.64784375492	86574.12944240513	3239.475940210214	3.1388281524871278e-06	
two_pop_split	100	2	10	1	2	-24228.771741912507	1412.319800112206	24531.537132999172	63834.67810006214	15433.321438791665	3.9694181875998176e-06	
